num_epochs,learning_rate,lr_decay_factor,lr_decay_step,regularization,final_train_loss,final_valid_loss,final_train_acc,final_valid_acc
250,0.01,0.2,250,0.1,2.3025163263082504,2.3033370971679688,0.1075,0.11
250,0.01,0.2,350,0,1.794079028069973,1.6661597192287445,0.6695,0.77
250,0.01,0.2,350,0.001,1.5004272907972336,1.5734711587429047,0.9635,0.865
250,0.01,0.2,350,0.01,1.5816495344042778,1.6390776336193085,0.923,0.82
250,0.01,0.2,350,0.1,2.302534058690071,2.3032023310661316,0.1095,0.09
250,0.01,0.3,100,0,1.7008975967764854,1.6844380497932434,0.7595,0.785
250,0.01,0.3,100,0.001,1.4667649790644646,1.5707124471664429,0.998,0.87
250,0.01,0.3,100,0.01,1.524448461830616,1.6126591861248016,0.9795,0.835
250,0.01,0.3,100,0.1,2.3024979308247566,2.302694320678711,0.117,0.09
250,0.01,0.3,250,0,1.797301396727562,1.7423764765262604,0.655,0.78
250,0.01,0.3,250,0.001,1.495394293218851,1.646527111530304,0.971,0.835
250,0.01,0.3,250,0.01,1.5745286606252193,1.6240092813968658,0.922,0.81
250,0.01,0.3,250,0.1,2.302524223923683,2.303314507007599,0.108,0.11
250,0.01,0.3,350,0,1.8260430172085762,1.6770948469638824,0.636,0.795
250,0.01,0.3,350,0.001,1.502712793648243,1.5736341178417206,0.9635,0.86
250,0.01,0.3,350,0.01,1.5829996094107628,1.7042342722415924,0.9135,0.81
250,0.01,0.3,350,0.1,2.3025848865509033,2.2994300723075867,0.1015,0.115
250,0.01,1,100,0,1.800692692399025,1.6524639427661896,0.66,0.79
250,0.01,1,100,0.001,1.4931937754154205,1.6598676443099976,0.9715,0.8
250,0.01,1,100,0.01,1.5833656713366508,1.631471335887909,0.9145,0.815
250,0.01,1,100,0.1,2.3025367334485054,2.3030987977981567,0.104,0.1
250,0.01,1,250,0,1.7899684607982635,1.6746801435947418,0.6745,0.765
250,0.01,1,250,0.001,1.4905780926346779,1.5749563574790955,0.9745,0.86
250,0.01,1,250,0.01,1.5907463692128658,1.718603402376175,0.899,0.81
250,0.01,1,250,0.1,2.3025434017181396,2.303137481212616,0.1035,0.11
250,0.01,1,350,0,1.7853305041790009,1.6247093081474304,0.678,0.79
250,0.01,1,350,0.001,1.4854100607335567,1.6160598695278168,0.9775,0.84
250,0.01,1,350,0.01,1.5803838483989239,1.6267828941345215,0.9155,0.84
250,0.01,1,350,0.1,2.3025421127676964,2.3030529022216797,0.1035,0.09
550,0.001,0.1,100,0,1.7336563616991043,1.7007861137390137,0.753,0.81
550,0.001,0.1,100,0.001,1.469271007925272,1.571583092212677,0.9955,0.87
550,0.001,0.1,100,0.01,1.5215764455497265,1.6081819832324982,0.9795,0.87
550,0.001,0.1,100,0.1,2.3024963214993477,2.302564799785614,0.117,0.09
550,0.001,0.1,250,0,1.6347928121685982,1.6821399331092834,0.84,0.805
550,0.001,0.1,250,0.001,1.4655639417469501,1.623714417219162,0.999,0.86
550,0.001,0.1,250,0.01,1.5141425430774689,1.6178836822509766,0.9895,0.86
550,0.001,0.1,250,0.1,2.302503675222397,2.3026179671287537,0.117,0.09
550,0.001,0.1,350,0,1.63890315964818,1.636271208524704,0.835,0.815
550,0.001,0.1,350,0.001,1.4679750613868237,1.571484625339508,0.9965,0.88
